CONTIN;SIGLA;DENOMINAZ;CODICE;DATAIST;DATASOP;CODRIF;DATAVARIAZ
7;RCH;PASQUA (ISOLA);Z721;1/1/1965 0.00.00;31/12/1984 0.00.00;Z721;31/12/1984 0.00.00
7;GB;PITCAIRN (E DIPENDENZE);Z722;1/1/1965 0.00.00;;;
7;F;POLINESIA FRANCESE (ISOLE);Z723;1/1/1965 0.00.00;;;
7;*;SALOMONE;Z724;31/12/1978 0.00.00;;;
7;GB;SALOMONE (ISOLE);Z724;1/1/1965 0.00.00;31/12/1978 0.00.00;Z724;7/7/1978 0.00.00
7;*;SAMOA;Z726;1/1/1965 0.00.00;;;
7;USA;SAMOA AMERICANE (ISOLE);Z725;1/1/1965 0.00.00;;;
7;NZ;TOKELAU=ISOLE DELL'UNIONE;Z727;1/1/1965 0.00.00;;;
7;GB;TONGA=DEGLI AMICI (ISOLE);Z728;1/1/1965 0.00.00;31/12/1975 0.00.00;Z728;4/6/1970 0.00.00
7;*;TONGA=ISOLE DEGLI AMICI;Z728;31/12/1975 0.00.00;;;
7;*;TUVALU;Z732;31/12/1980 0.00.00;;;
7;*;VANUATU;Z733;31/12/1980 0.00.00;;;
7;F;WALLIS E FUTUNA (ISOLE);Z729;1/1/1965 0.00.00;;;
8;;DIPENDENZE CANADESI;Z800;1/1/1965 0.00.00;;;
8;;DIPENDENZE NORVEGESI ARTICHE;Z801;1/1/1965 0.00.00;;;
8;;DIPENDENZE RUSSE;Z802;31/3/1992 0.00.00;;;
8;;DIPENDENZE SOVIETICHE;Z802;1/1/1965 0.00.00;31/3/1992 0.00.00;Z802;31/3/1992 0.00.00
9;;DIPENDENZE AUSTRALIANE;Z900;1/1/1965 0.00.00;;;
9;;DIPENDENZE BRITANNICHE;Z901;1/1/1965 0.00.00;;;
9;;DIPENDENZE FRANCESI;Z902;1/1/1965 0.00.00;;;
9;;DIPENDENZE NEOZELANDESI;Z903;1/1/1965 0.00.00;;;
9;;DIPENDENZE NORVEGESI ANTARTICHE;Z904;1/1/1965 0.00.00;;;
9;;DIPENDENZE STATUNITENSI;Z905;1/1/1965 0.00.00;;;
9;;DIPENDENZE SUDAFRICANE;Z906;1/1/1965 0.00.00;;;
